user,rating,comment,time,
Thùy Dương_49,2.8,"Bánh bị khô và không tươi, không hài lòng",13/01/2024 05:51,
Minh Tâm_6,7.8,"Bánh nhân đầy đặn, vị béo vừa phải rất ngon",15/09/2024 05:51,
Nhật Linh_11,6.4,"Bánh giòn, thơm và rất hấp dẫn",16/05/2024 05:51,
Hoàng Vũ_25,7.6,"Bánh thơm ngon, đáng để thử lại lần nữa",15/12/2023 05:51,
Ngọc Anh_99,4.3,"Giao hàng chậm, bánh đến nơi bị nguội và khô",21/07/2024 05:51,
Hải Đăng_49,4.2,"Bánh bị khô và không tươi, không hài lòng",26/08/2024 05:51,
Trọng Nghĩa_46,3.7,"Mùi vị bình thường, không ấn tượng lắm",24/11/2023 05:51,
Thùy Dương_78,7.1,"Bánh nhân đầy đặn, vị béo vừa phải rất ngon",15/07/2024 05:51,
Anh Thư_60,5,"Nhân viên phục vụ không nhiệt tình, bánh không ngon",28/07/2024 05:51,
Thủy Tiên_99,8.2,"Giá cả hợp lý, bánh nóng hổi và rất ngon",1/11/2024 5:51,
Thủy Tiên_52,4.1,"Bánh quá dầu mỡ, ăn không ngon miệng chút nào",1/2/2024 5:51,
Thủy Tiên_28,7.2,"Thích hợp cho bữa sáng nhanh gọn, hương vị ổn định",24/12/2023 05:51,
Bảo Ngọc_19,4.1,"Bánh quá dầu mỡ, ăn không ngon miệng chút nào",4/2/2024 5:51,
Hồng Hà_34,8,"Thích hợp cho bữa sáng nhanh gọn, hương vị ổn định",24/01/2024 05:51,
Nhật Linh_47,3.8,"Không đúng như kỳ vọng, giá cả không hợp lý",2/3/2024 5:51,
Minh Khang_12,8,"Hương vị tuyệt vời, rất hài lòng với sản phẩm",31/08/2024 05:51,
Anh Thư_88,5.4,"Hương vị tuyệt vời, rất hài lòng với sản phẩm",4/5/2024 5:51,
Nhật Linh_77,10,"Bánh nhân đầy đặn, vị béo vừa phải rất ngon",12/7/2024 5:51,
Hồng Hà_2,7.4,"Hương vị tuyệt vời, rất hài lòng với sản phẩm",4/12/2023 5:51,
Hồng Hà_97,4.1,"Bánh bị khô và không tươi, không hài lòng",21/09/2024 05:51,
Hữu Lộc_56,3.3,"Nhân bánh quá ít, cảm giác không đáng tiền",6/7/2024 5:51,
Phương Thảo_98,3.4,"Giao hàng chậm, bánh đến nơi bị nguội và khô",2/1/2024 5:51,
Hữu Lộc_82,6.1,"Giá cả hợp lý, bánh nóng hổi và rất ngon",31/08/2024 05:51,
Trọng Nghĩa_98,3.3,"Nhân viên phục vụ không nhiệt tình, bánh không ngon",17/11/2024 05:51,
Kim Ngân_42,5.9,"Hương vị tuyệt vời, rất hài lòng với sản phẩm",16/05/2024 05:51,
Hữu Lộc_31,2.5,Giá cao nhưng chất lượng lại không tương xứng,8/10/2024 5:51,
Thùy Dương_94,5.9,"Hương vị tuyệt vời, rất hài lòng với sản phẩm",19/02/2024 05:51,
Lan Phương_17,7.3,"Bánh nhân đầy đặn, vị béo vừa phải rất ngon",25/08/2024 05:51,
Minh Tâm_68,9,"Thích hợp cho bữa sáng nhanh gọn, hương vị ổn định",1/8/2024 5:51,
Phúc An_92,4.5,"Bánh bị khô và không tươi, không hài lòng",7/4/2024 5:51,
Phương Thảo_58,3,"Bánh quá dầu mỡ, ăn không ngon miệng chút nào",16/10/2024 05:51,
Thủy Tiên_3,6.7,"Giá cả hợp lý, bánh nóng hổi và rất ngon",21/01/2024 05:51,
Ngọc Anh_1,2.6,"Nhân bánh quá ít, cảm giác không đáng tiền",23/07/2024 05:51,
Thùy Dương_5,8.9,"Hương vị tuyệt vời, rất hài lòng với sản phẩm",28/02/2024 05:51,
Ngọc Anh_36,7.4,"Giá cả hợp lý, bánh nóng hổi và rất ngon",15/02/2024 05:51,
Lan Phương_93,9.5,"Bánh giòn, thơm và rất hấp dẫn",27/01/2024 05:51,
Minh Khang_32,8.3,"Thích hợp cho bữa sáng nhanh gọn, hương vị ổn định",12/8/2024 5:51,
Hải Đăng_13,7.3,"Bánh mềm, nhân đậm đà, hợp khẩu vị",15/04/2024 05:51,
Thúy Vi_60,8.9,"Bánh thơm ngon, đáng để thử lại lần nữa",9/12/2023 5:51,
Hải Đăng_8,5.2,"Bánh mềm, nhân đậm đà, hợp khẩu vị",23/09/2024 05:51,
Ngọc Anh_25,3.5,Bánh nguội và không thơm như quảng cáo,7/9/2024 5:51,
Thúy Vi_24,4.2,"Bánh quá dầu mỡ, ăn không ngon miệng chút nào",10/10/2024 5:51,
Bảo Ngọc_71,2.8,"Nhân viên phục vụ không nhiệt tình, bánh không ngon",10/11/2024 5:51,
Thùy Dương_97,8.8,"Phục vụ chu đáo, giao hàng nhanh, chất lượng tốt",23/04/2024 05:51,
Minh Khang_62,3.7,"Phục vụ chậm, thời gian giao hàng quá lâu",18/10/2024 05:51,
Anh Thư_49,2,"Phục vụ chậm, thời gian giao hàng quá lâu",5/7/2024 5:51,
Bảo Ngọc_37,5.4,"Bánh nhân đầy đặn, vị béo vừa phải rất ngon",15/12/2023 05:51,
Minh Khang_20,3.5,"Bánh quá dầu mỡ, ăn không ngon miệng chút nào",19/10/2024 05:51,
Hoàng Vũ_95,6.3,"Bánh mềm, nhân đậm đà, hợp khẩu vị",19/10/2024 05:51,
Quang Huy_75,5.8,"Bánh nhân đầy đặn, vị béo vừa phải rất ngon",29/08/2024 05:51,
Quang Huy_66,2.6,"Không đúng như kỳ vọng, giá cả không hợp lý",13/10/2024 05:51,
Kim Ngân_9,7.4,"Giá cả hợp lý, bánh nóng hổi và rất ngon",25/04/2024 05:51,
Hải Đăng_73,4,Giá cao nhưng chất lượng lại không tương xứng,28/10/2024 05:51,
Kim Ngân_11,5.4,"Bánh giòn, thơm và rất hấp dẫn",2/2/2024 5:51,
Phương Thảo_41,9.5,"Giá cả hợp lý, bánh nóng hổi và rất ngon",11/12/2023 5:51,
Thủy Tiên_31,4.1,"Không đúng như kỳ vọng, giá cả không hợp lý",10/12/2023 5:51,
Hữu Lộc_59,4.5,"Giao hàng chậm, bánh đến nơi bị nguội và khô",13/11/2024 05:51,
Bảo Ngọc_80,10,"Hương vị tuyệt vời, rất hài lòng với sản phẩm",11/10/2024 5:51,
Hồng Hà_28,6,"Phục vụ chu đáo, giao hàng nhanh, chất lượng tốt",23/05/2024 05:51,
Thùy Dương_32,5,"Không đúng như kỳ vọng, giá cả không hợp lý",7/4/2024 5:51,
Hồng Hà_91,4.4,"Nhân viên phục vụ không nhiệt tình, bánh không ngon",13/11/2024 05:51,
Hồng Hà_39,9.5,"Hương vị tuyệt vời, rất hài lòng với sản phẩm",10/9/2024 5:51,
Minh Tâm_15,9.1,"Bánh nhân đầy đặn, vị béo vừa phải rất ngon",30/08/2024 05:51,
Minh Tâm_37,6.8,"Bánh mềm, nhân đậm đà, hợp khẩu vị",5/8/2024 5:51,
Minh Tâm_65,5.9,"Bánh thơm ngon, đáng để thử lại lần nữa",1/10/2024 5:51,
Thúy Vi_36,2.4,"Bánh bị khô và không tươi, không hài lòng",12/9/2024 5:51,
Minh Tâm_21,7.9,"Bánh nhân đầy đặn, vị béo vừa phải rất ngon",22/11/2023 05:51,
Thúy Vi_72,2.1,"Giao hàng chậm, bánh đến nơi bị nguội và khô",30/11/2023 05:51,
Lan Phương_70,2.3,"Bánh bị khô và không tươi, không hài lòng",24/01/2024 05:51,
Hồng Hà_19,5.4,"Bánh thơm ngon, đáng để thử lại lần nữa",13/06/2024 05:51,
Trọng Nghĩa_6,9.2,"Giá cả hợp lý, bánh nóng hổi và rất ngon",4/12/2023 5:51,
Ngọc Anh_86,2.8,"Nhân viên phục vụ không nhiệt tình, bánh không ngon",23/04/2024 05:51,
Kim Ngân_96,3.2,"Bánh quá dầu mỡ, ăn không ngon miệng chút nào",26/08/2024 05:51,
Anh Thư_53,2.2,"Bánh bị khô và không tươi, không hài lòng",21/04/2024 05:51,
Ngọc Anh_35,3.3,"Giao hàng chậm, bánh đến nơi bị nguội và khô",6/5/2024 5:51,
Quang Huy_61,3.8,Bánh nguội và không thơm như quảng cáo,22/05/2024 05:51,
Hữu Lộc_30,3.8,"Bánh quá dầu mỡ, ăn không ngon miệng chút nào",27/04/2024 05:51,
Thủy Tiên_36,8.9,"Rất hài lòng, sẽ giới thiệu cho bạn bè",22/05/2024 05:51,
Phương Thảo_52,7.4,"Bánh nhân đầy đặn, vị béo vừa phải rất ngon",1/6/2024 5:51,
Ngọc Minh_15,9,"Rất hài lòng, sẽ giới thiệu cho bạn bè",18/08/2024 05:51,
Hoàng Vũ_34,2.3,Giá cao nhưng chất lượng lại không tương xứng,9/4/2024 5:51,
Trọng Nghĩa_94,8.3,"Thích hợp cho bữa sáng nhanh gọn, hương vị ổn định",12/1/2024 5:51,
Phương Thảo_15,5.1,"Bánh giòn, thơm và rất hấp dẫn",12/8/2024 5:51,
Thúy Vi_1,6.2,"Bánh nhân đầy đặn, vị béo vừa phải rất ngon",2/12/2023 5:51,
Phúc An_47,5.5,"Bánh mềm, nhân đậm đà, hợp khẩu vị",3/1/2024 5:51,
Thủy Tiên_85,8.8,"Rất hài lòng, sẽ giới thiệu cho bạn bè",3/3/2024 5:51,
Hữu Lộc_86,5.3,"Thích hợp cho bữa sáng nhanh gọn, hương vị ổn định",27/11/2023 05:51,
Hữu Lộc_71,3,"Phục vụ chậm, thời gian giao hàng quá lâu",13/12/2023 05:51,
Nhật Linh_87,8,"Phục vụ chu đáo, giao hàng nhanh, chất lượng tốt",7/1/2024 5:51,
Hoàng Vũ_39,5.2,"Bánh thơm ngon, đáng để thử lại lần nữa",15/06/2024 05:51,
Hữu Lộc_27,5.4,"Bánh giòn, thơm và rất hấp dẫn",12/1/2024 5:51,
Thủy Tiên_60,5.5,"Giá cả hợp lý, bánh nóng hổi và rất ngon",1/3/2024 5:51,
Minh Khang_95,3.4,"Giao hàng chậm, bánh đến nơi bị nguội và khô",25/06/2024 05:51,
Hải Nam,6.8,Quá tuyệt vời! Sẽ quay lại lần sau.,29/03/2024 05:04:09,
Ngọc Anh,8.4,"Quán sạch sẽ, món ăn hợp vệ sinh.",18/04/2024 23:41:22,
Kim Chi,4,Bánh hơi ngọt so với khẩu vị của tôi.,22/03/2024 01:07:18,
Văn Hoàng,6.5,Quá tuyệt vời! Sẽ quay lại lần sau.,30/08/2024 18:51:29,
Văn Hoàng,5.1,"Giao hàng chậm, bánh nguội và khô.",10/1/2024 19:47,
Lan Hương,8.3,Phù hợp cho bữa sáng nhanh gọn.,12/5/2024 11:37,
Hải Nam,5.7,"Bánh thơm ngon, đáng để thử!",24/10/2024 19:02:49,
Đức Hạnh,9.8,"Hương vị thơm ngon, đúng chuẩn bánh nhà làm.",30/10/2024 08:15:35,
Thu Hà,5.2,"Nhân bánh thơm và ngon, rất ấn tượng.",31/03/2024 22:38:01,
Mai Anh,5.1,"Món ăn hấp dẫn, rất đáng tiền.",23/03/2024 02:39:13,
Tuấn Anh,4.7,"Món ăn hấp dẫn, rất đáng tiền.",15/05/2024 14:37:34,
Minh Đức,8.2,"Hương vị thơm ngon, đúng chuẩn bánh nhà làm.",16/03/2024 04:02:20,
Ngọc Anh,6,"Hương vị không như mong đợi, cần cải thiện.",29/04/2024 22:36:32,
Thu Hà,3.1,"Mùi vị bình thường, không đặc sắc lắm.",26/10/2024 07:56:53,
Phương Mai,7.1,"Món ăn hấp dẫn, rất đáng tiền.",16/06/2024 05:38:52,
Văn Hoàng,2.6,"Không đúng như kỳ vọng, giá hơi cao.",15/11/2024 04:43:25,
Hà Phương,3.4,"Hương vị độc đáo, sẽ quay lại lần nữa.",28/06/2024 19:28:03,
Lâm Phong,3.5,"Nhân viên phục vụ nhiệt tình, món ăn chất lượng.",19/07/2024 07:09:48,
Ngọc Anh,2.2,"Giao hàng nhanh, bánh còn nóng hổi.",24/08/2024 11:05:11,
Đức Hạnh,2.3,"Không đúng như kỳ vọng, giá hơi cao.",10/8/2024 21:44,
Phương Mai,6.9,"Giao hàng chậm, bánh nguội và khô.",13/01/2024 18:38:05,
Đức Hạnh,4.8,"Hương vị thơm ngon, đúng chuẩn bánh nhà làm.",5/6/2024 20:55,
Tuấn Anh,8.9,"Không đúng như kỳ vọng, giá hơi cao.",28/10/2024 23:33:51,
Văn Hoàng,5.6,Bánh hơi ngọt so với khẩu vị của tôi.,29/03/2024 09:55:28,
Thảo Vy,5.1,"Bánh quá dầu mỡ, không hợp khẩu vị.",9/3/2024 6:40,
Mai Anh,5.1,Phù hợp cho bữa sáng nhanh gọn.,8/5/2024 11:44,
Kim Chi,2.8,"Giá cả hợp lý, bánh ngon miệng.",15/07/2024 16:07:26,
Ngọc Anh,3.5,"Bánh quá dầu mỡ, không hợp khẩu vị.",30/07/2024 03:17:45,
Trung Kiên,4,"Bánh quá dầu mỡ, không hợp khẩu vị.",9/9/2024 22:53,
Tuấn Anh,3.6,"Nhân bánh ít, cảm giác không đáng tiền.",30/06/2024 23:35:31,
Huyền Trang,5.7,"Mùi vị bình thường, không đặc sắc lắm.",29/05/2024 22:47:45,
Kim Chi,1.5,"Giá cả hợp lý, bánh ngon miệng.",24/04/2024 00:07:33,
Lan Hương,3,"Nhân bánh ít, cảm giác không đáng tiền.",10/7/2024 12:18,
Phương Mai,4,"Bánh mềm, ăn rất vừa miệng.",21/05/2024 19:30:43,
Huyền Trang,8.3,"Nhân bánh thơm và ngon, rất ấn tượng.",9/1/2024 13:33,
Hải Nam,7.7,Bánh giao tới hơi nguội nhưng vẫn ăn được.,19/07/2024 17:28:21,
Thu Hà,7.8,"Bánh quá dầu mỡ, không hợp khẩu vị.",21/02/2024 00:26:06,
Mỹ Linh,1.1,"Hương vị không như mong đợi, cần cải thiện.",17/11/2024 16:20:00,
Hải Nam,4.7,"Không đúng như kỳ vọng, giá hơi cao.",30/05/2024 20:15:42,
Quang Vinh,2.1,Bánh giao tới hơi nguội nhưng vẫn ăn được.,9/10/2024 13:10,
Quang Vinh,5.6,"Quán sạch sẽ, món ăn hợp vệ sinh.",3/10/2024 15:14,
Lâm Phong,4.3,"Không đúng như kỳ vọng, giá hơi cao.",12/6/2024 9:45,
Kim Chi,7.5,"Hương vị không như mong đợi, cần cải thiện.",27/06/2024 06:04:14,
Minh Đức,2,"Giá cả hợp lý, bánh ngon miệng.",10/5/2024 8:32,
Thảo Vy,4.7,Bánh giao tới hơi nguội nhưng vẫn ăn được.,8/7/2024 17:38,
Đức Hạnh,5.4,"Nhân viên phục vụ nhiệt tình, món ăn chất lượng.",23/10/2024 13:33:43,
Hải Nam,6.5,"Món ăn hấp dẫn, rất đáng tiền.",17/02/2024 14:10:39,
Mỹ Linh,6.8,"Mùi vị bình thường, không đặc sắc lắm.",13/02/2024 15:40:56,
Thu Hà,2.8,Phù hợp cho bữa sáng nhanh gọn.,6/5/2024 14:15,
Đức Hạnh,3.2,"Giao hàng chậm, bánh nguội và khô.",3/11/2024 5:27,
Bảo Long,7.3,"Hương vị không như mong đợi, cần cải thiện.",29/04/2024 11:05:43,
Lâm Phong,2.8,"Giao hàng nhanh, bánh còn nóng hổi.",10/4/2024 2:54,
Quang Vinh,4.1,"Bánh quá dầu mỡ, không hợp khẩu vị.",14/05/2024 08:14:10,
Mai Anh,3.9,Quá tuyệt vời! Sẽ quay lại lần sau.,15/02/2024 16:24:41,
Phương Mai,8.1,"Bánh quá dầu mỡ, không hợp khẩu vị.",4/9/2024 22:21,
Thu Hà,9,Bánh hơi ngọt so với khẩu vị của tôi.,3/9/2024 8:48,
Minh Đức,3.2,"Giao hàng nhanh, bánh còn nóng hổi.",11/6/2024 11:13,
Văn Hoàng,7.1,"Hương vị thơm ngon, đúng chuẩn bánh nhà làm.",14/04/2024 23:24:14,
Bảo Long,8.6,"Bánh mềm, ăn rất vừa miệng.",12/10/2024 23:12,
Thu Hà,5.7,"Không đúng như kỳ vọng, giá hơi cao.",25/03/2024 06:17:56,
Văn Hoàng,6.2,"Hương vị thơm ngon, đúng chuẩn bánh nhà làm.",28/08/2024 12:46:39,
Hải Nam,7.9,"Món ăn hấp dẫn, rất đáng tiền.",8/8/2024 16:43,
Mỹ Linh,7.6,"Hương vị thơm ngon, đúng chuẩn bánh nhà làm.",9/2/2024 22:45,
Kim Chi,2,"Bánh thơm ngon, đáng để thử!",6/7/2024 15:40,
Thảo Vy,9,"Hương vị độc đáo, sẽ quay lại lần nữa.",14/07/2024 00:45:18,
Quang Vinh,4.9,"Mùi vị bình thường, không đặc sắc lắm.",8/1/2024 15:04,
Trung Kiên,1.3,"Bánh mềm, ăn rất vừa miệng.",9/7/2024 8:32,
Quang Vinh,6,"Không đúng như kỳ vọng, giá hơi cao.",3/8/2024 3:35,
Quang Vinh,2.9,"Hương vị không như mong đợi, cần cải thiện.",10/11/2024 21:31,
Phương Mai,1,Bánh hơi ngọt so với khẩu vị của tôi.,17/04/2024 06:35:45,
Kim Chi,2.7,Quá tuyệt vời! Sẽ quay lại lần sau.,9/10/2024 21:13,
Thu Hà,9.8,"Nhân bánh ít, cảm giác không đáng tiền.",3/5/2024 10:42,
Lâm Phong,2.8,"Nhân viên phục vụ nhiệt tình, món ăn chất lượng.",25/05/2024 03:24:29,
Trung Kiên,1.6,"Nhân viên phục vụ nhiệt tình, món ăn chất lượng.",8/2/2024 22:39,
Đức Hạnh,5.1,"Món ăn hấp dẫn, rất đáng tiền.",10/9/2024 15:14,
Văn Hoàng,6.5,"Hương vị thơm ngon, đúng chuẩn bánh nhà làm.",15/01/2024 23:23:09,
Trung Kiên,5.4,Phù hợp cho bữa sáng nhanh gọn.,12/7/2024 7:21,
Thảo Vy,2.9,"Hương vị thơm ngon, đúng chuẩn bánh nhà làm.",6/9/2024 6:25,
Mỹ Linh,4.2,"Món ăn hấp dẫn, rất đáng tiền.",17/11/2024 18:54:50,
Kim Chi,5.3,"Nhân bánh thơm và ngon, rất ấn tượng.",3/6/2024 16:25,
Đức Hạnh,9.3,"Bánh thơm ngon, đáng để thử!",8/7/2024 18:14,
Văn Hoàng,8.8,Bánh giao tới hơi nguội nhưng vẫn ăn được.,24/09/2024 09:44:10,
Huyền Trang,5.5,"Giao hàng chậm, bánh nguội và khô.",24/05/2024 11:10:33,
Minh Đức,6.6,"Giá cả hợp lý, bánh ngon miệng.",6/4/2024 0:13,
Văn Hoàng,4.1,"Quán sạch sẽ, món ăn hợp vệ sinh.",25/05/2024 12:53:03,
Minh Đức,1.6,"Nhân bánh ít, cảm giác không đáng tiền.",25/10/2024 01:23:55,
Huyền Trang,7.8,"Mùi vị bình thường, không đặc sắc lắm.",21/05/2024 11:47:03,
Mỹ Linh,7.8,"Nhân bánh ít, cảm giác không đáng tiền.",2/9/2024 5:37,
Kim Chi,1.2,"Nhân viên phục vụ nhiệt tình, món ăn chất lượng.",17/11/2024 03:01:10,
Thu Hà,6.9,"Mùi vị bình thường, không đặc sắc lắm.",31/03/2024 02:41:44,
Phương Mai,2.1,"Nhân viên phục vụ nhiệt tình, món ăn chất lượng.",1/3/2024 6:20,
Mai Anh,2.5,Quá tuyệt vời! Sẽ quay lại lần sau.,8/7/2024 8:05,
Huyền Trang,9.3,"Nhân bánh thơm và ngon, rất ấn tượng.",1/1/2024 9:38,
Phương Mai,8.9,Bánh hơi ngọt so với khẩu vị của tôi.,7/6/2024 9:47,
Khánh Duy,3.9,"Nhân bánh ít, cảm giác không đáng tiền.",29/09/2024 03:45:43,
Mỹ Linh,5.5,"Nhân bánh thơm và ngon, rất ấn tượng.",15/04/2024 14:38:37,
Thảo Vy,1.6,"Món ăn hấp dẫn, rất đáng tiền.",24/04/2024 19:04:22,
Lan Hương,5.3,"Hương vị độc đáo, sẽ quay lại lần nữa.",25/06/2024 14:49:47,
Kim Chi,4,"Mùi vị bình thường, không đặc sắc lắm.",2/1/2024 8:40,
Lan Hương,3.1,"Bánh mềm, ăn rất vừa miệng.",18/05/2024 04:38:10,
Văn Hoàng,2.6,"Không đúng như kỳ vọng, giá hơi cao.",22/03/2024 17:57:48,
Đức Hạnh,4.9,"Nhân bánh thơm và ngon, rất ấn tượng.",9/2/2024 9:44,
Đức Hạnh,5.2,"Quán sạch sẽ, món ăn hợp vệ sinh.",6/9/2024 1:41,
Kim Chi,3.2,Phù hợp cho bữa sáng nhanh gọn.,29/05/2024 07:01:43,
Mai Anh,3.6,Phù hợp cho bữa sáng nhanh gọn.,10/5/2024 5:05,
Tuấn Anh,9.3,Bánh giao tới hơi nguội nhưng vẫn ăn được.,18/03/2024 07:31:25,
Mai Anh,6.9,"Giá cả hợp lý, bánh ngon miệng.",19/01/2024 08:25:26,
Mỹ Linh,3.6,Bánh giao tới hơi nguội nhưng vẫn ăn được.,14/01/2024 19:00:23,
Quang Vinh,6.4,"Mùi vị bình thường, không đặc sắc lắm.",17/08/2024 11:28:18,
Văn Hoàng,2.5,"Nhân bánh ít, cảm giác không đáng tiền.",10/7/2024 1:42,
Lan Hương,1.9,"Bánh quá dầu mỡ, không hợp khẩu vị.",5/4/2024 10:23,
Hà Phương,4.5,"Nhân bánh thơm và ngon, rất ấn tượng.",10/4/2024 11:46,
Khánh Duy,9.1,"Nhân bánh ít, cảm giác không đáng tiền.",30/07/2024 11:44:57,
Thu Hà,5.4,"Giá cả hợp lý, bánh ngon miệng.",23/07/2024 15:22:11,
